surat_nomor,ayat_nomor,teks_id
2,21,"Nyaris kilat itu menyambar penglihatan mereka. Setiap kali kilat menyinarinya, mereka ber-jalan di dalamnya tetapi apabila gelap meliputinya mereka ber-henti. Dan seandainya Allah menghendaki niscaya Dia meng-hilangkan pendengaran mereka dan penglihatan mereka,41 se-sungguhnya Allah berkuasa atas segala sesuatu.41A"
2,22,"Hai manusia,42 beribadah-lah kepada Tuhanmu yang telah menciptakan kamu dan juga orang-orang sebelummu supaya kamu bertakwa."
2,23,"Dia-lah Yang menjadikan bagi kamu bumi sebagai hamparan dan langit sebagai atap,43 dan Dia menurunkan air dari awan lalu dengan itu Dia mengeluarkan buah-buahan sebagai rezeki bagimu, maka janganlah kamu menjadikan sembahan-sembahan tandingan bagi Allah padahal kamu mengetahui."
2,24,"Dan jika kamu dalam ke-raguan tentang apa yang telah Kami turunkan kepada hamba Kami, maka datangkanlah satu surah yang semisalnya, * dan panggillah penolong-peno-longmu selain Allah jika kamu orang-orang yang benar.44"
2,25,"Tetapi jika kamu tidak mampu melakukan-nya, dan kamu sama sekali tidak akan mampu melakukan-nya, maka peliharalah dirimu dari Api yang bahan bakarnya45 manusia46 dan batu yang disediakan bagi orang-orang kafir."
2,26,"Dan berilah kabar suka kepada orang-orang beriman dan beramal saleh bahwasanya bagi mereka ada kebun-kebun yang di bawahnya mengalir sungai-sungai. Setiap kali diberikan kepada mereka buah-buahan dari kebun itu sebagai rezeki, mereka berkata: “Inilah yang telah direzekikan kepada kami sebelumnya”, dan akan diberikan kepada mereka yang serupa dengannya, dan bagi mereka di dalamnya ada jodoh-jodoh yang suci,46A dan mereka akan kekal di dalamnya.47"
2,27,"Sesungguhnya Allah tidak segan memberikan suatu per-umpamaan48 sekecil nyamuk48A bahkan yang lebih kecil dari itu.48B* Adapun orang- orang yang beriman, mereka itu mengetahui bahwasanya perumpamaan itu kebenaran dari Tuhan mereka, sedangkan orang-orang kafir, mereka berkata: “Apa yang Allah kehendaki dengan perumpamaan ini?” Sebenarnya dengan ini banyak yang Dia nyatakan sesat49dan dengan ini juga banyak yang Dia beri petunjuk dan tiada yang Dia nyatakan sesat dengan itu kecuali orang-orang yang durhaka."
2,28,"Yaitu orang-orang yang me-langgar perjanjian dengan Allah sesudah meneguhkannya dan me-mutuskan apa yang diperintahkan Allah untuk menghubungkannya, dan mereka berbuat kerusakan di bumi, mereka itulah orang-orang yang rugi."
2,29,"Bagaimana mungkin kamu mengingkari Allah, padahal da-hulu kamu tidak bernyawa,50 lalu Dia menghidupkan kamu,51kemudian akan mematikan kamu, lalu Dia akan menghidupkan kamu,52 kemudian kepada-Nya-lah kamu akan dikembalikan.53"
2,30,"Dia-lah Yang menciptakan untuk kamu apa pun yang ada di bumi semuanya untuk kemanfaatan kamu, kemudian Dia mengarah ke langit54 lalu Dia menyempurnakannya55 menjadi tujuh56 langit; dan Dia Maha Mengetahui segala sesuatu.56A"
2,31,"Dan ingatlah ketika Tuhan engkau berfirman57 kepada para malaikat:57A “Sesungguhnya Aku hendak menjadikan seorang kha-lifah di bumi”, akan mereka berkata: “Apakah darah di Engkau menjadikan di bumi orang yang akan membuat kerusakan dan akan menumpahkan dalamnya,58padahal kami ber-tasbih dengan pujian Engkau59 dan kami mensucikan60 Engkau?” Dia berfirman: “Sesungguhnya Aku mengetahui apa yang tidak kamu ketahui.”61"
2,32,"Dan Dia mengajarkan ke-pada Adam nama-nama itu semuanya,62A kemudian Dia me-ngemukakannya62Bkepada para malaikat lalu Dia berfirman: “Beritahukanlah kepada-Ku nama-nama ini jika kamu memang benar.”*"
2,33,"Mereka berkata: “Mahasuci Engkau, kami tidak memiliki pe-ngetahuan kecuali apa yang telah Engkau ajarkan kepada kami, sesungguhnya Engkau-lah yang Maha Mengetahui, Mahabijak-sana.”63"
2,34,"Dia berfirman: “Hai Adam, beritahukanlah kepada mereka nama-namanya itu”, maka tatkala ia beritahu kepada mereka nama-namanya itu, Dia berfirman: “Bukankah telah Aku katakan kepadamu sesungguhnya Aku mengetahui rahasia seluruh langit dan bumi dan mengetahui apa pun yang kamu nyatakan dan apa pun yang kamu sembunyikan?”64"
2,35,"Dan ingatlah ketika Kami berfirman kepada para malaikat: “Tunduklah65kamu kepada Adam”, lalu mereka tunduk kecuali66 Iblis,67 ia menolak dan takabur, dan ia sejak semula termasuk yang ingkar."
2,36,"Dan Kami berfirman: “Hai Adam! Tinggallah engkau dan isteri engkau dalam kebun ini,68 dan makanlah darinya sepuas hati di mana pun kamu berdua suka,68A tetapi janganlah kamu mendekati pohon ini,69 maka kamu berdua akan menjadi orang-orang aniaya.*"
2,37,"Kemudian setan70 meng-gelincirkan keduanya dengan perantaraan pohon itu, lalu mengeluarkan keduanya dari keadaan mereka sebelumnya, dan Kami berfirman: ”Pergilah kamu dari sini, sebagian darimu musuh bagi yang lain, dan di bumi inilah tempat kediaman71 bagimu dan perbekalan hidup sampai suatu masa tertentu."
2,38,"Kemudian Adam mempe-lajari beberapa kalimat doa dari Tuhannya. Lalu Dia menerima tobatnya. Sesungguhnya Dia Maha Penerima tobat, Maha Penyayang."
2,39,"Kami berfirman: “Pergilah kamu semua dari sini. Dan ingatlah jika datang kepadamu suatu petunjuk dari-Ku, lalu barangsiapa mengikuti petunjuk-Ku maka tidak ada ketakutan72 atas mereka dan tidak pula mereka akan bersedih.”73"
2,40,"Tetapi orang-orang kafir dan mendustakan tanda-tanda Kami, mereka adalah penghuni Api, mereka akan tinggal lama di dalamnya.74"
2,41,"Hai Bani Israil,75 ingatlah nikmat-Ku yang telah Aku anugerahkan kepada kamu dan penuhilah janjimu kepada-Ku, niscaya Aku penuhi pula janji-Ku kepadamu76 dan hanya kepada-Ku-lah kamu harus takut."
2,42,"Dan berimanlah kamu ke-pada apa yang telah Aku turunkan menggenapi77 apa yang ada pada-mu, dan janganlah kamu menjadi orang-orang yang pertama-tama kafir terhadapnya, janganlah kamu menjual ayat-ayat-Ku dengan harga yang rendah77A dan hanya kepada-Ku-lah hendaknya kamu bertakwa."
2,43,"Dan janganlah kamu mencampuradukkan kebenaran dengan kepalsuan, dan jangan pula kamu menyembunyikan kebenaran itu padahal kamu mengetahui.78"
2,44,"Dan dirikanlah shalat, bayarlah zakat, dan yang rukuklah bersama orang-orang rukuk.79"
2,45,"Mengapa kamu menyuruh orang lain berbuat kebajikan80 se-dangkan kamu melupakan dirimu sendiri, padahal kamu membaca Kitab Taurat81 itu, maka apakah kamu tidak berpikir?"
2,46,"Dan mohonlah pertolongan kepada Allah dengan sabar82 dan shalat,83 dan sesungguhnya hal itu sangat berat kecuali bagi orang-orang yang rendah hati."
2,47,Yaitu orang-orang yang yakin bahwa mereka akan ber-temu dengan Tuhannya dan bahwasanya mereka akan kembali kepada-Nya.
2,48,"Hai Bani Israil, ingatlah nikmat-Ku yang telah Aku anu-gerahkan kepada kamu, dan sesungguhnya Aku telah meng-unggulkan kamu di atas seluruh alam.84"
2,49,"Dan takutlah kamu terhadap hari ketika suatu jiwa sama sekali tidak akan dapat menggantikan jiwa yang lain, tidak akan diterima suatu syafa’at85 darinya, tidak akan diambil suatu tebusan86 darinya, dan mereka tidak pula akan ditolong."
2,50,"Dan ingatlah ketika Kami menyelamatkankamu dari kaum87 Fir’aun88 yang menimpakan sik-saan yang buruk88A kepadamu, mereka menyembelih anak-anak lelakimu, dan membiarkan hidup perempuan-perempuanmu, dan dalam yang demikian itu merupakan cobaan besar dari Tuhan-mu."
2,51,Dan ingatlah ketika Kami membelah laut89 untuk kamu lalu Kami menyelamatkanmu dan Kami menenggelamkan kaum Fir’aun sedangkan kamu menyaksikan.
2,52,"Dan ingatlah ketika Kami menjanjikan kepada Musa90 empat puluh malam,91 kemudian sepeninggalnya kamu menjadi-kan anak sapi92 sebagai sembahan dan kamu orang-orang aniaya."
2,53,"Lalu, Kami memaafkanmu sesudah itu supaya kamu ber-syukur."
2,54,Dan ingatlah ketika Kami memberikan Al-kitab93 dan Furqān94kepada Musa supaya kamu mendapat petunjuk.
2,55,"Dan ingatlah ketika Musa berkata kepada kaumnya, “Hai kaumku! Sesungguhnya kamu telah menganiaya dirimu dengan menjadikan anak sapi sebagai sembahan, karena itu kembalilah kepada Penciptamu lalu bunuhlah hawa-nafsumu,95 yang demikian itu lebih baik bagimu di sisi Penciptamu lalu Dia menerima tobatmu, sesungguhnya Dia benar-benar Maha Penerima tobat, Maha Penyayang.*"
2,56,"Dan, ingatlah ketika kamu berkata, “Hai Musa! Kami tidak akan pernah mempercayai engkau sebelum kami melihat Allah berhadap-hadapan”. Lalu kamu disambar halilintar sedangkan kamu menyaksikan."
2,57,Kemudian Kami sesudah mem-bangkitkan kamu kematianmu96 supaya kamu bersyukur.
2,58,"Dan Kami menaungkan awan97 di atas kamu, dan me-nurunkan Manna98 dan Salwa kepadamu99 “Makanlah dari apa-apa yang baik yang telah Kami rezekikan kepadamu”. Dan me-reka tidaklah menganiaya Kami, akan tetapi mereka hanya meng-aniaya dirinya sendiri."
2,59,"Dan ingatlah ketika Kami berfirman, “Masukilah negeri100 ini, makanlah darinya di mana kamu sukai sepuas hati, dan masukilah pintu gerbangnya dengan patuh dan katakanlah, “Wahai Tuhan! Bebaskanlah kami dari dosa kami.” Kami akan mengampuni dosa-dosamu, dan Kami akan menambah anugerah kepada orang-orang yang berbuat baik.”"
2,60,"Tetapi orang-orang zalim mengganti ucapan itu dengan apa yang tidak dikatakan kepada mereka, lalu Kami menurunkan azab dari langit kepada orang-orang zalim itu, karena mereka berbuat durhaka."
2,61,"Dan ingatlah ketika Musa memohonkan air untuk kaumnya maka Kami berfirman, “Pukullah batu itu dengan tongkat engkau”, lalu memancarlah darinya dua belas mata air,101 sungguh tiap-tiap suku telah mengenal tempat minumnya, Dan dikatakan kepada mereka, “Makan dan minumlah dari rezeki Allah, dan janganlah kamu berlaku sewenang-wenang dengan berbuat kerusakan di muka bumi.”"
2,62,"Dan, ingatlah ketika kamu berkata, “Hai Musa! Kami tidak akan pernah sabar dengan satu macam makanan saja, karena itu mohonkanlah untuk kami kepada Tuhan engkau supaya Dia mengeluarkan untuk kami dari apa yang ditumbuhkan bumi: sayur‑mayurnya, mentimunnya, gandumnya, kacang-kacangan-nya, dan bawang merahnya.” Dia berfirman, “Apakah kamu me-minta yang lebih rendah sebagai ganti yang lebih baik? Pergilah ke suatu kota, maka akan kamu dapatkan apa yang kamu minta.”102 Lalu ditimpakan ke-pada mereka kehinaan dan kemiskinan, dan mereka men-dapat kemurkaan dari Allah. Hal itu karena sesungguhnya mereka mengingkari ayat-ayat Allah dan mereka berusaha membunuh103 nabi-nabi tanpa hak. Demikian itu karena mereka durhaka dan senantiasa melampaui batas."
2,63,"Sesungguhnya orang-orang yang beriman, orang-orang Yahudi, orang-orang Nasrani, dan orang-orang Shabi,104barangsiapa di antara mereka benar-benar beriman kepada Allah dan Hari Kemudian serta mengerjakan amal saleh, maka bagi mereka ada ganjaran yang sesuai di sisi Tuhan mereka, dan tidak ada ketakutan atas mereka mengenai yang akan datang dan tidak pula mereka akan bersedih mengenai yang telah lalu.*"
2,64,"Dan, ingatlah ketika Kami mengambil janji yang teguh dari kamu dan Kami menjulangkan Gunung Thur105 di atasmu. Peganglah dengan kuat apa yang Kami berikan kepadamu dan ingatlah apa yang ada di dalamnya supaya kamu bertakwa.*"
2,65,"Kemudian kamu berpaling sesudah itu, maka seandainya tidak ada karunia Allah dan rahmat-Nya106 atasmu, niscaya kamu menjadi orang-orang yang merugi."
2,66,"Dan sesungguhnya kamu telah mengetahui orang-orang di antaramu yang melanggar me-ngenai Hari Sabat, lalu Kami berfirman kepada mereka, ”Jadi-lah kamu kera yang hina!”107*"
2,67,"Maka Kami menjadikannya hal itu sebagai peringatan bagi orang-orang yang ada pada masanya dan bagi orang-orang yang datang sesudahnya, serta sebagai pelajaran bagi orang-orang yang bertakwa."
2,68,"Dan ingatlah ketika Musa berkata kepada kaumnya, “Se-sungguhnya Allah memerintah-kan kamu menyembelih sapi betina, mereka berkata, “Apakah engkau menjadikan kami sebagai sasaran olok-olok?” Ia berkata, “Aku berlindung kepada Allah dari menjadi salah seorang diantara orang-orang jahil.”"
2,69,"Mereka berkata, “Mohon-kanlah untuk kami kepada Tuhan engkau supaya Dia menjelaskan bagi kami sapi betina seperti apakah itu.” Ia berkata, “Se-sungguhnya Dia berfirman bahwa itu adalah sapi betina, tidak tua dan tidak muda, pertengahan di antara itu, maka lakukanlah apa yang diperintahkan kepadamu.”"
2,70,"Mereka berkata, “Mohon-kanlah untuk kami kepada Tuhan engkau supaya Dia menjelaskan kepada kami apa warnanya.” Ia berkata, “Sesungguhnya Dia berfirman bahwa sapi betina itu kuning, cemerlang warnanya, menyenangkan orang-orang yang melihatnya.”"
2,71,"Mereka berkata: “Mohon-kanlah lagi untuk kami kepada Tuhan engkau supaya Dia menjelaskan kepada kami sapi betina seperti apakah itu, karena sapi betina itu serupa saja bagi kami, dan sesungguhnya jika Allah menghendaki niscaya kami akan mendapat petunjuk."
2,72,"Ia menjawab, “Sesungguh-nya Dia berfirman bahwasanya sapi itu adalah sapi yang belum dijinakkan untuk membajak tanah dan tidak pula untuk mengairi ladang, mulus, tidak ada cacatnya.” Mereka berkata, “Sekarang baru-lah engkau mengemukakan hal yang sebenarnya.” Lalu mereka menyembelihnya dan mereka hampir tidak mengerjakannya.108"
2,73,"Dan ingatlah ketika kamu membunuh109seseorang109A lalu kamu berselisih menge-nainya, padahal Allah akan menyingkapkan apa yang se-nantiasa kamu sembunyikan.109B"
2,74,"Maka Kami berfirman, “Bandingkanlah110 peristiwa ini dengan beberapa peristiwa se-macamnya, barulah akan kamu ketahui hakikatnya.” Demikian-lah Allah menghidupkan yang mati110A dan memperlihatkan tanda-tanda-Nya kepadamu supaya kamu mengerti.*"
2,75,"Lalu hati kamu menjadi keras sesudah itu hingga seperti batu atau lebih keras111 lagi, dan sesungguhnya di antara batu itu ada pula yang darinya mengalir sungai-sungai, dan sungguh di antaranya ada yang terbelah lalu keluar air darinya. Dan, sungguh di antaranya yaitu hati ada yang jatuh luluh karena takut kepada Allah, dan Allah sama sekali tidak lalai terhadap apa yang kamu kerjakan.112"
2,76,"Apakah kamu mengharap-kan bahwa mereka, kaum Yahudi, akan menerima ucapanmu? Padahal sungguh ada satu golongan di antara mereka yang mendengar firman Allah lalu mereka menyimpangkannya sesudah memahaminya, padahal mereka mengetahui."
2,77,"Dan apabila mereka ber-temu dengan orang-orang yang beriman mereka berkata, “Kami pun telah beriman”, tetapi apabila sebagian mereka bertemu dengan sebagian yang lain, mereka berkata, “Apakah kamu menceritakan kepadanya tentang apa yang telah dibukakan Allah kepadamu, sehingga dengan itu nanti mereka dapat membantah kamu di hadapan Tuhanmu. Tidakkah kamu mengerti?”113"
2,78,Apakah mereka tidak me-ngetahui bahwa sesungguhnya Allah mengetahui apa pun yang mereka sembunyikan dan apa pun yang mereka nyatakan?
2,79,"Dan di antara mereka ada yang buta huruf;113A mereka tidak mengetahui Alkitab kecuali beberapa khayalan palsu, bahkan mereka hanyalah menduga-duga."
2,80,"Maka celakalah orang-orang yang menulis Alkitab dengan tangan mereka sendiri kemudian berkata: “Ini dari sisi Allah”, supaya dengan itu mereka mem-peroleh sedikit keuntungan. Maka celakalah mereka disebabkan apa yang ditulis oleh tangan mereka dan celakalah mereka karena apa yang mereka kerjakan.114"
2,81,Dan mereka berkata: “Api tidak akan pernah menyentuh kami kecuali beberapa hari saja.”115 Katakanlah: ”Apakah kamu telah menerima suatu janji dari Allah? Jika benar demikian maka Allah tidak akan pernah menyalahi janji-Nya. Ataukah kamu berkata terhadap Allah apa yang tidak kamu ketahui?”
2,82,"Mengapa tidak! barang-siapa mengerjakan kejahatan dan dosa-nya meliputinya, maka mereka adalah penghuni Api; mereka kekal di dalamnya."
2,83,"Dan orang-orang yang ber-iman serta mengerjakan amal saleh mereka itulah penghuni surga, mereka kekal di dalamnya."
2,84,"Dan ingatlah ketika Kami mengambil janji yang teguh dari Bani Israil: “Kamu tidak akan menyembah kecuali kepada Allah, dan berbuat baiklah kepada ibu-bapak, kaum kerabat, anak-anak yatim, dan orang-orang miskin, dan ucapkanlah kata-kata yang baik kepada manusia, dirikanlah shalat dan bayarlah zakat,116 kemudian kamu berpaling, kecuali sedikit di antaramu dan kamu orang-orang yang selalu berpaling."
2,85,"Dan ingatlah ketika Kami mengambil janji yang teguh dari kamu bahwa, “Kamu tidak akan menumpahkan darah sesamamu dan kamu tidak akan mengusir kaummu dari kampung halamanmu,”117 kemudian kamu mengikrarkannya, dan kamu menjadi saksi atasnya."
2,86,"Kemudian kamulah orang-orang yang membunuh satu sama lain dan mengusir segolongan kamu dari kampung halaman mereka, sambil membantu musuh-musuh mereka dalam dosa dan pelanggaran. Dan jika mereka datang kepadamu selaku tawanan, kamu menebus mereka, padahal pengusiran mereka telah diharam-kan bagimu. Apakah kamu beriman kepada sebagian Alkitab dan mengingkari kepada sebagian lainnya? Maka tak ada balasan bagi orang yang berbuat demikian di antaramu kecuali kehinaan dalam kehidupan dunia, dan pada Hari Kiamat mereka akan di-kembalikan kepada azab yang sangat keras, dan sesungguhnya Allah tidak lengah terhadap apa yang kamu kerjakan.118"
2,87,"Mereka inilah orang-orang yang telah membeli kehidupan dunia dengan akhirat. Karena itu, azab tidak akan diringankan dari mereka dan tidak pula mereka akan ditolong dengan cara apa-pun."
2,88,"Dan sungguh Kami telah berikan Alkitab kepada Musa dan Kami mengikutkan rasul-rasul di belakangnya dan Kami berikan kepada Isa Ibnu Maryam tanda-tanda yang nyata, dan juga Kami memperkuatnya dengan Rohulkudus.119 Maka apakah se-tiap datang kepadamu seorang rasul dengan membawa apa yang tidak disukai oleh dirimu kamu berlaku takabur, lalu sebagian kamu dustakan dan sebagian lainnya kamu bunuh?"
2,89,"Dan mereka berkata: ”Hati kami tertutup.” Tidak, bahkan Allah telah melaknat mereka karena kekafiran mereka maka sedikit sekali apa yang mereka imani."
2,90,"Dan tatkala datang kepada mereka sebuah Kitab dari Allah membenarkan apa yang ada pada mereka, sedangkan sebelum itu mereka senantiasa memohon kemenangan120 atas orang-orang kafir, tetapi tatkala datang kepada mereka apa yang mereka kenali itu sebagai kebenaran mereka ingkar kepadanya maka laknat Allah atas orang-orang kafir."
2,91,"Alangkah buruknya hal yang dengan itu mereka telah menjual dirinya - mereka meng-ingkari apa yang Allah turunkan, karena dengki mengapa Allah menurunkan karunia-Nya kepada siapa yang Dia kehendaki di antara hamba-hamba-Nya, lalu mereka ditimpa kemurkaan demi kemurkaan, dan bagi orang-orang kafir seperti itu ada azab yang menghinakan."
2,92,"Dan apabila dikatakan ke-pada mereka: “Berimanlah kepada apa yang telah Allah berkata: turun-kan”, mereka “Kami hanya beriman kepada apa yang telah diturunkan kepada kami”, dan mereka ingkar kepada yang diturunkan sesudahnya, padahal itulah kebenaran yang menggenapi apa yang ada pada mereka. Katakanlah: ”Lalu mengapa kamu membunuh nabi-nabi Allah se-belum ini, jika kamu orang-orang beriman?”"
2,93,"Dan sungguh Musa telah datang kepada kamu dengan Tanda-tanda yang nyata, kemu-dian sepeninggalnya kamu men-jadikan anak sapi sebagai sem-bahan dan kamu orang-orang yang zalim."
2,94,"Dan ingatlah ketika Kami mengambil janji yang teguh dari kamu dan Kami menjulang-tinggikan gunung Thur121di atasmu seraya berfirman: “Peganglah dengan kuat apa yang telah Kami berikan kepadamu dan dengarkanlah.” Mereka121A berkata: “Kami telah mendengar tetapi kami mengingkari”, dan hati mereka diresapi kecin-taan kepada anak sapi122 karena kekafirannya. Katakanlah: “Sa-ngat buruk apa yang diperintahkan imanmu, jika kamu sungguh orang-orang yang beriman.”"
2,95,"Katakanlah, ”Jika tempat kediaman akhirat di sisi Allah semata-mata hanya untuk kamu, bukan untuk orang lain, maka harapkanlah kematian, jika kamu orang-orang yang benar.”122A"
2,96,"Dan mereka tidak akan per-nah mengharapkan kematian itu sama sekali disebabkan apa yang telah diperbuat tangan mereka, dan Allah Maha Mengetahui orang-orang zalim."
2,97,"Dan niscaya engkau benar-benar akan mendapati mereka sebagai manusia paling tamak kepada kehidupan dunia, bahkan lebih dari orang-orang musyrik.122B Masing-masing mereka ingin diberi umur seribu tahun, padahal diberi umur selama itu tidak dapat menjauhkannya dari azab; dan Allah Maha Melihat apa yang mereka kerjakan."
2,98,"Katakanlah, “Barangsiapa menjadi musuh bagi Jibril,123 maka sesungguhnya ialah yang menurunkan kitabnya ke dalam hati engkau dengan izin Allah menggenapi firman yang ada sebelumnya, sebagai petunjuk dan kabar gembira bagi orang-orang yang beriman."
2,99,"”Barangsiapa menjadi musuh bagi Allah, malaikat-malaikat-Nya, rasul-rasul-Nya, Jibril dan Mika’il,124 maka se-sungguhnya Allah musuh bagi orang-orang kafir semacam itu.”125"
2,100,"Dan sungguh Kami telah turunkan tanda-tanda yang nyata kepada engkau, dan sama sekali tidak ada yang kafir kepadanya kecuali orang-orang fasik."
2,101,"Apakah bukan sesuatu yang buruk bila setiap kali me-reka membuat janji, segolongan dari mereka mencampakannya? Bahkan kebanyakan dari mereka tidak beriman."
2,102,"Dan tatkala datang kepada mereka seorang rasul dari sisi Allah, membenarkan apa yang ada pada mereka, segolongan dari orang-orang yang diberi Alkitab membuang Kitab Allah ke belakang punggungnya, seolah-olah mereka tidak mengetahui."
2,103,"Dan mereka mengikuti apa yang diikuti126 para pemberontak di masa127 kerajaan Sulaiman. Dan bukan Sulaiman yang kafir melainkan para pem-berontak itulah yang ingkar. Mereka mengajarkan sihir128 kepada manusia. Dan mereka itu mengaku mengikuti apa yang telah diturunkan kepada dua129 malaikat di Babil, Harut dan Marut.130* Tetapi keduanya tidaklah mengajar seorang pun sehingga mereka mengatakan: “Sesungguhnya kami hanya ujian dari Tuhan, karena itu janganlah kamu ingkar.” Lalu orang-orang belajar dari keduanya hal yang dengan itu mereka membuat pemisahan antara laki-laki dan istrinya, dan dengan itu mereka tidak mendatangkan mudarat kepada seseorang kecuali dengan izin Allah; sedangkan mereka ini mempelajari apa-apa yang mendatangkan mudarat dan tidak bermanfaat130A baginya. Dan sungguh mereka mengetahui bahwa barangsiapa berniaga dengan cara ini niscaya tidak ada baginya suatu bagian keuntungan di akhirat, dan amat buruklah apa yang untuk itu mereka menjual dirinya, seandainya mereka mengetahui."
2,104,"Dan sekiranya mereka beriman dan bertakwa, tentu mereka akan meraih ganjaran terbaik dari sisi Allah, seandainya mereka mengetahui."
2,105,"Hai orang-orang yang beriman, janganlah kamu me-ngatakan “Rā‘inā”131 kepada Rasul Kami, melainkan katakanlah “Unzurnā” serta dengarlah baik-baik, dan ingatlah bagi orang-orang kafir ada azab yang pedih.*"
2,106,"Orang-orang kafir di antara Ahli Kitab dan orang-orang musyrik sama sekali tidak suka suatu kebaikan dari Tuhan kamu diturunkan kepadamu, padahal Allah mengkhususkan rahmat-Nya bagi siapa yang Dia kehendaki dan Allah adalah Pemilik karunia yang besar."
2,107,"Ayat131A mana pun yang Kami mansukhkan132 atau Kami biarkan terlupa, Kami datangkan yang lebih baik darinya atau yang semisalnya. Apakah kamu tidak mengetahui bahwa sesungguhnya Allah Mahakuasa atas segala sesuatu?*"
2,108,Apakah kamu tidak mengetahui bahwa Allah yang mempunyai Kerajaan seluruh langit dan bumi? Dan tidak ada bagi engkau pelindung dan penolong selain Allah.
2,109,"Ataukah kamu hendak menanyai133 Rasulmu sebagai-mana Musa telah ditanyai dahulu? Dan barangsiapa menukar ke-imanan dengan kekufuran, maka sungguh ia telah sesat dari jalan yang lurus."
2,110,"Kebanyakan dari Ahli Kitab menginginkan seandainya mereka dapat mengembalikan kamu menjadi kafir sesudah kamu beriman, setelah kebenaran itu jelas bagi mereka, karena kedengkian dari diri mereka sendiri. Maka maafkan dan berlapangdadalah pada mereka hingga Allah men-datangkan keputusan-Nya, sesung-guhnya Allah Mahakuasa atas segala sesuatu."
2,111,"Dan dirikanlah shalat serta bayarlah zakat; dan kebaikan apa pun yang kamu dahulukan untuk dirimu, kamu akan memperolehnya di sisi Allah; sesungguhnya Allah Maha Melihat apa pun yang kamu kerjakan."
